time,value,variable,signal
17.559360000000005,265.81909,Eh recovery,0.9002275433456525
17.576029999999996,265.9331599999999,Eh recovery,0.900424840862611
17.592689999999997,266.04566000000005,Eh recovery,0.9006194228794243
17.60936,266.15435,Eh recovery,0.9008074150519344
17.62603,266.2586099999999,Eh recovery,0.900987745017027
17.642699999999998,266.3632999999999,Eh recovery,0.9011688187178284
17.65937,266.46373999999986,Eh recovery,0.901342541542439
17.67603,266.56499,Eh recovery,0.901517665357571
17.692699999999995,266.6679199999999,Eh recovery,0.9016956949308204
17.70937,266.77377999999993,Eh recovery,0.9018787922845966
17.726039999999998,266.88105999999993,Eh recovery,0.9020643456958294
17.742699999999992,266.98868999999996,Eh recovery,0.902250504473337
17.75937,267.09414999999996,Eh recovery,0.9024329099799423
17.77603999999999,267.2006099999999,Eh recovery,0.9026170451044748
17.792699999999996,267.3077599999999,Eh recovery,0.9028023736653771
17.80937,267.41278,Eh recovery,0.9029840181400945
17.826039999999995,267.52070999999995,Eh recovery,0.9031706958029802
17.842709999999997,267.63098,Eh recovery,0.9033614207718156
17.859369999999995,267.74408000000005,Eh recovery,0.9035570405593849
17.87604,267.86336,Eh recovery,0.9037633493857445
17.892709999999997,267.98602999999997,Eh recovery,0.9039755216168774
17.909379999999995,268.11933,Eh recovery,0.9042060796865767
17.926039999999997,268.25759,Eh recovery,0.9044452166611953
17.942709999999998,268.39754999999997,Eh recovery,0.9046872939862899
17.959379999999996,268.53894999999994,Eh recovery,0.9049318619611997
17.97605,268.68612999999993,Eh recovery,0.9051864271277289
17.99270999999999,268.83751999999987,Eh recovery,0.9054482739857317
18.00938,268.98726999999997,Eh recovery,0.905707284270334
18.02605,269.14683,Eh recovery,0.9059832621068025
18.042719999999992,269.308,Eh recovery,0.9062620246281335
18.05938,269.47349999999994,Eh recovery,0.9065482763950895
18.076049999999995,269.63832999999994,Eh recovery,0.9068333693180344
18.092719999999996,269.80239,Eh recovery,0.9071171304351754
18.10939,269.96514999999994,Eh recovery,0.9073986430490107
18.126049999999996,270.1290399999999,Eh recovery,0.9076821101311038
18.142719999999997,270.29249999999996,Eh recovery,0.9079648334774885
18.159389999999995,270.45477,Eh recovery,0.9082454985785396
18.176050000000004,270.61261,Eh recovery,0.9085185014721731
18.192719999999998,270.76148,Eh recovery,0.9087759896929993
18.209389999999996,270.8988499999999,Eh recovery,0.9090135873076624
18.22606,271.03804999999994,Eh recovery,0.9092543501231325
18.242729999999998,271.17632999999995,Eh recovery,0.9094935216901094
18.259399999999996,271.31228,Eh recovery,0.9097286632473159
18.27606,271.44426,Eh recovery,0.9099569382213513
18.29272999999999,271.57313999999997,Eh recovery,0.9101798513798123
18.3094,271.7004099999999,Eh recovery,0.9103999798534104
18.32607,271.83145999999994,Eh recovery,0.9106266462827736
18.342729999999996,271.96379999999994,Eh recovery,0.9108555439192628
18.3594,272.09273999999994,Eh recovery,0.9110785608547993
18.37607,272.22313999999994,Eh recovery,0.9113041030325097
18.392739999999996,272.35453,Eh recovery,0.9115313575319683
18.409409999999998,272.48221999999987,Eh recovery,0.9117522124450955
18.426069999999996,272.61203,Eh recovery,0.9119767341482291
18.442739999999993,272.7422399999999,Eh recovery,0.9122019476985332
18.45940999999999,272.87513999999993,Eh recovery,0.9124318139210618
