anaerobe_axis,metric,value,domain
-1.568107483,Surface area,20.362,Capacity
-1.568107483,Aggregate stability,71.6621253405997,Connectivity
-1.434063762,Soil C,1.87493595287,Capacity
-1.434063762,Bulk density,1.432708908462345,Connectivity
-1.434063762,Root density,5.04623821014716e-4,Connectivity
-1.434063762,SRO minerals,59.668765222344874,Capacity
-1.434063762,Surface area,23.092,Capacity
-1.434063762,Aggregate stability,70.4109589041097,Connectivity
-0.226056964,Soil C,2.033,Capacity
-0.226056964,Bulk density,1.3586706331945302,Connectivity
-0.226056964,Root density,0.00128923499421186,Connectivity
-0.226056964,SRO minerals,86.48380084099261,Capacity
-0.226056964,Surface area,20.563,Capacity
-0.226056964,Aggregate stability,68.9655172413794,Connectivity
2.334621418509636,Soil C,3.7925,Capacity
2.334621418509636,Bulk density,1.04193140007082,Connectivity
2.334621418509636,Root density,0.00738976252449896,Connectivity
2.334621418509636,SRO minerals,71.07661234820465,Capacity
2.334621418509636,Surface area,19.456,Capacity
2.334621418509636,Aggregate stability,71.6621253405997,Connectivity
-0.206215743,Soil C,4.5725,Capacity
-0.206215743,Bulk density,1.099259822252746,Connectivity
-0.206215743,Root density,0.00742869828926387,Connectivity
-0.206215743,SRO minerals,69.73181881975322,Capacity
-0.206215743,Surface area,19.046,Capacity
-0.206215743,Aggregate stability,70.4109589041097,Connectivity
2.182840811813922,Soil C,3.73,Capacity
2.182840811813922,Bulk density,1.168843820481675,Connectivity
2.182840811813922,Root density,0.00275183818652162,Connectivity
2.182840811813922,SRO minerals,105.01264564847165,Capacity
2.182840811813922,Surface area,19.853,Capacity
2.182840811813922,Aggregate stability,68.9655172413794,Connectivity
1.772483111158168,Soil C,1.411,Capacity
1.772483111158168,Bulk density,1.410255603714685,Connectivity
1.772483111158168,Root density,4.1660144134751935e-4,Connectivity
1.772483111158168,SRO minerals,138.87965338783627,Capacity
1.772483111158168,Surface area,22.371,Capacity
1.772483111158168,Aggregate stability,23.2,Connectivity
0.6124763684607935,Soil C,1.7705,Capacity
0.6124763684607935,Bulk density,1.32583221301511,Connectivity
0.6124763684607935,Root density,0.00116300659876411,Connectivity
0.6124763684607935,SRO minerals,155.91810168974746,Capacity
0.6124763684607935,Surface area,22.84,Capacity
0.6124763684607935,Aggregate stability,24.7,Connectivity
-0.725209837,Soil C,0.9755,Capacity
-0.725209837,Bulk density,1.56344487031416,Connectivity
-0.725209837,Root density,4.292162118571504e-4,Connectivity
-0.725209837,SRO minerals,115.96816351760486,Capacity
-0.725209837,Surface area,31.246,Capacity
-0.725209837,Aggregate stability,23.2,Connectivity
-1.043451479,Soil C,1.068,Capacity
-1.043451479,Bulk density,1.5999945164291849,Connectivity
-1.043451479,Root density,4.570161443671862e-4,Connectivity
-1.043451479,SRO minerals,92.55998290622796,Capacity
-1.043451479,Surface area,19.424,Capacity
-1.043451479,Aggregate stability,26,Connectivity
1.860649604514483,Soil C,1.264,Capacity
1.860649604514483,Bulk density,1.462519456759145,Connectivity
1.860649604514483,Root density,0.00137461256439699,Connectivity
1.860649604514483,SRO minerals,107.95979243543914,Capacity
1.860649604514483,Surface area,21.167,Capacity
1.860649604514483,Aggregate stability,24.7,Connectivity
-0.405998101,Soil C,1.2985,Capacity
-0.405998101,Bulk density,1.46488980868588,Connectivity
-0.405998101,Root density,3.7911980265061126e-4,Connectivity
-0.405998101,SRO minerals,108.16914644565476,Capacity
-0.405998101,Surface area,28.534,Capacity
-0.405998101,Aggregate stability,23.2,Connectivity
0.8017548463628669,Soil C,1.2715,Capacity
0.8017548463628669,Bulk density,1.46596051228777,Connectivity
0.8017548463628669,Root density,0.00285557354906788,Connectivity
0.8017548463628669,SRO minerals,93.7251952049318,Capacity
0.8017548463628669,Surface area,22.288,Capacity
0.8017548463628669,Aggregate stability,24.7,Connectivity
-2.512610382,Soil C,1.067,Capacity
-2.512610382,Bulk density,1.57848495211415,Connectivity
-2.512610382,Root density,6.219789652747896e-4,Connectivity
-2.512610382,SRO minerals,47.49065168611331,Capacity
-2.512610382,Surface area,7.366,Capacity
-2.512610382,Aggregate stability,74,Connectivity
-1.471083169,Soil C,1.08199999999999,Capacity
-1.471083169,Bulk density,1.6166468213505052,Connectivity
-1.471083169,Root density,6.480424303721261e-4,Connectivity
-1.471083169,SRO minerals,49.66786129433863,Capacity
-1.471083169,Surface area,5.204,Capacity
-1.471083169,Aggregate stability,74,Connectivity
-1.769655804,Soil C,1.0415,Capacity
-1.769655804,Bulk density,1.58854603807936,Connectivity
-1.769655804,Root density,7.191456322328241e-4,Connectivity
-1.769655804,SRO minerals,48.725188264603304,Capacity
-1.769655804,Surface area,5.714,Capacity
-1.769655804,Aggregate stability,74,Connectivity
-1.816683054,Soil C,0.952,Capacity
-1.816683054,Bulk density,1.67481465281986,Connectivity
-1.816683054,Root density,6.751555472873181e-4,Connectivity
-1.816683054,SRO minerals,41.065523798384845,Capacity
-1.816683054,Surface area,4.198,Capacity
-1.816683054,Aggregate stability,76,Connectivity
-2.015681509,Soil C,1.3545,Capacity
-2.015681509,Bulk density,1.56427813722721,Connectivity
-2.015681509,Root density,8.54311746696787e-4,Connectivity
-2.015681509,SRO minerals,50.07864200087721,Capacity
-2.015681509,Surface area,6.005,Capacity
-2.015681509,Aggregate stability,76,Connectivity
-0.690255602,Soil C,1.2745,Capacity
-0.690255602,Bulk density,1.44231773719712,Connectivity
-0.690255602,Root density,1.5061628950545593e-5,Connectivity
-0.690255602,SRO minerals,44.68948173168193,Capacity
-0.690255602,Surface area,4.78,Capacity
-0.690255602,Aggregate stability,80,Connectivity
-3.340505792,Soil C,1.08984177657149,Capacity
-3.340505792,Bulk density,1.5254699141604449,Connectivity
-3.340505792,Root density,1.313445771833903e-4,Connectivity
-3.340505792,SRO minerals,48.67661765344852,Capacity
-3.340505792,Surface area,5.561,Capacity
-3.340505792,Aggregate stability,80,Connectivity
-3.547945891,Soil C,1.008,Capacity
-3.547945891,Bulk density,1.527147462202135,Connectivity
-3.547945891,Root density,3.4395591626855556e-4,Connectivity
-3.547945891,SRO minerals,34.44525632164845,Capacity
-3.547945891,Surface area,4.663,Capacity
-3.547945891,Aggregate stability,71,Connectivity
-1.746365798,Soil C,1.028,Capacity
-1.746365798,Bulk density,1.52568979691288,Connectivity
